lemma	vi	en	ipa	example_de
# Cột: lemma, tiếng Việt, tiếng Anh, IPA (tuỳ chọn), ví dụ DE (tuỳ chọn). Thêm dòng để mở rộng offline.
aber	nhưng	but	[ˈaːbɐ]	Das ist gut, aber teuer.
und	và	and	[ʊnt]	Brot und Butter
oder	hoặc	or	[ˈoːdɐ]	Kaffee oder Tee
auch	cũng	also	[ˈaʊ̯x]	Ich komme auch.
nicht	không	not	[nɪçt]	Das stimmt nicht.
kein	không có (phủ định)	no / not any	[kaɪ̯n]	Ich habe kein Auto.
sein	là (động từ)	to be	[zaɪ̯n]	Ich bin müde.
haben	có / có (động từ)	to have	[ˈhaːbn̩]	Wir haben Zeit.
wer	ai	who	[veːɐ̯]	Wer ist das?
was	gì / cái gì	what	[vas]	Was machst du?
wie	thế nào / như thế nào	how	[viː]	Wie geht es dir?
wo	ở đâu	where	[voː]	Wo wohnst du?
wann	khi nào	when	[van]	Wann kommst du?
warum	tại sao	why	[vaˈʁʊm]	Warum nicht?
wohin	đi đâu	where to	[voˈhɪn]	Wohin fährst du?
ich	tôi	I	[ɪç]	Ich heiße Anna.
du	bạn / anh / chị	you (informal)	[duː]	Du bist nett.
er	anh ấy / ông ấy	he	[eːɐ̯]	Er liest ein Buch.
sie	cô ấy / họ / bà	she / they	[ziː]	Sie spricht Deutsch.
es	nó / điều đó	it	[ɛs]	Es regnet.
wir	chúng ta / chúng tôi	we	[viːɐ̯]	Wir lernen Deutsch.
ihr	các bạn / các anh chị	you (plural)	[iːɐ̯]	Ihr seid pünktlich.
Sie	bà / ông / ngài	you (formal)	[ziː]	Wie heißen Sie?
der	mạo từ giống đực	the (masc.)	[deːɐ̯]	der Mann
die	mạo từ giống cái / số nhiều	the (fem./pl.)	[diː]	die Frau
das	mạo từ trung	the (neut.)	[das]	das Kind
ein	một (giống đực/trung)	a/an	[aɪ̯n]	ein Buch
eine	một (giống cái)	a/an	[ˈaɪ̯nə]	eine Tasse
dieser	cái này / người này	this	[ˈdiːzɐ]	dieser Tisch
jeder	mỗi	each	[ˈjeːdɐ]	jeder Tag
man	người ta / ta	one	[man]	Man spricht hier Deutsch.
mich	tôi (tân ngữ)	me	[mɪç]	Er sieht mich.
mir	tôi (cho tôi)	me (dative)	[miːɐ̯]	Gib mir bitte den Stift.
dir	bạn (cho bạn)	you (dat.)	[diːɐ̯]	Ich helfe dir.
ihm	anh ấy (cho anh ấy)	him	[iːm]	Ich danke ihm.
ihr	cô ấy (cho cô ấy)	her	[iːɐ̯]	Ich gebe ihr den Schlüssel.
uns	chúng tôi (cho chúng tôi)	us	[ʊns]	Zeig uns das Foto.
euch	các bạn (cho các bạn)	you (pl. dat.)	[ˈɔʏ̯ç]	Ich sehe euch morgen.
Ihnen	ông/bà (cho ông/bà)	you (formal dat.)	[ˈiːnən]	Mit freundlichen Grüßen an Sie.
mein	của tôi	my	[maɪ̯n]	mein Name
dein	của bạn	your (informal)	[daɪ̯n]	dein Handy
sein	của anh ấy / nó	his / its	[zaɪ̯n]	sein Auto
ihr	của cô ấy / của họ	her / their	[iːɐ̯]	ihr Beruf
unser	của chúng tôi	our	[ˈʊnzɐ]	unser Haus
euer	của các bạn	your (pl.)	[ˈɔʏ̯ɐ]	eure Idee
Ihr	của ông/bà	your (formal)	[iːɐ̯]	Ihr Auftrag
hier	ở đây	here	[hiːɐ̯]	Ich bin hier.
dort	ở đó	there	[dɔʁt]	Das Buch liegt dort.
jetzt	bây giờ	now	[jɛtst]	Jetzt essen wir.
heute	hôm nay	today	[ˈhɔʏ̯tə]	Heute ist Montag.
gestern	hôm qua	yesterday	[ˈɡɛstɐn]	Gestern war Sonntag.
morgen	ngày mai / sáng	tomorrow / morning	[ˈmɔʁɡn̩]	Morgen fahre ich nach Berlin.
immer	luôn luôn	always	[ˈɪmɐ]	Er kommt immer pünktlich.
nie	không bao giờ	never	[niː]	Ich sage nie Nein.
oft	thường xuyên	often	[ɔft]	Wir treffen uns oft.
manchmal	đôi khi	sometimes	[ˈmançmaːl]	Manchmal regnet es.
gut	tốt	good	[ɡuːt]	Das Essen ist gut.
schlecht	xấu / tệ	bad	[ʃlɛçt]	Das Wetter ist schlecht.
groß	lớn	big	[ɡʁoːs]	ein großes Haus
klein	nhỏ	small	[klain]	ein kleines Kind
neu	mới	new	[nɔʏ̯]	ein neues Handy
alt	cũ / già	old	[alt]	ein alter Freund
jung	trẻ	young	[jʊŋ]	eine junge Frau
viel	nhiều	much / many	[fiːl]	Ich habe viel Arbeit.
wenig	ít	little	[ˈveːnɪç]	zu wenig Zeit
alle	tất cả	all	[ˈalə]	alle Studenten
beide	cả hai	both	[ˈbaɪ̯də]	beide Eltern
ja	có / vâng	yes	[jaː]	Ja, das ist richtig.
nein	không	no	[naɪ̯n]	Nein, danke.
bitte	làm ơn / xin mời	please	[ˈbɪtə]	Ein Kaffee, bitte.
danke	cảm ơn	thanks	[ˈdaŋkə]	Vielen Dank!
gern	thích / sẵn lòng	gladly	[ɡɛʁn]	Gern geschehen.
Entschuldigung	xin lỗi	sorry	[ɛntˈʃʊldɪɡʊŋ]	Entschuldigung, wo ist die Toilette?
Hallo	xin chào	hello	[haˈloː]	Hallo, wie geht’s?
Tschüss	tạm biệt	bye	[tʃʏs]	Tschüss, bis morgen!
Guten Morgen	chào buổi sáng	good morning	[ˈɡuːtn̩ ˈmɔʁɡn̩]	Guten Morgen, Frau Müller!
Guten Tag	chào (ban ngày)	good day	[ˈɡuːtn̩ taːk]	Guten Tag!
Guten Abend	chào buổi tối	good evening	[ˈɡuːtn̩ ˈaːbn̩t]	Guten Abend!
Gute Nacht	chúc ngủ ngon	good night	[ˈɡuːtə naxt]	Gute Nacht!
Wie geht es dir?	Bạn khỏe không?	How are you?	[viː ɡeːt ɛs diːɐ̯]	Wie geht es dir?
Mir geht es gut.	Tôi khỏe.	I am fine.	[miːɐ̯ ɡeːt ɛs ɡuːt]	Mir geht es gut.
essen	ăn	to eat	[ˈʔɛsn̩]	Wir essen um sechs.
trinken	uống	to drink	[ˈtʁɪŋkn̩]	Ich trinke Wasser.
gehen	đi	to go	[ˈɡeːən]	Wir gehen zu Fuß.
kommen	đến	to come	[ˈkɔmən]	Wann kommst du?
