A1  ab  Ab morgen muss ich arbeiten.      
A1	aber	Ich bin oft im Büro, aber nur für wenige Stunden.
A1	abfahren	Wir fahren um zwölf Uhr ab.
A1	die Abfahrt	Vor der Abfahrt rufe ich an.
A1	abgeben	Ich muss meine Schlüssel abgeben.
A1	abholen	Wann kann ich den Schrank bei dir abholen? | Wir müssen noch meinen Bruder abholen.
A1	der Absender	Da ist ein Brief für dich ohne Absender. | Achtung Achtung! Das dürfen Sie nicht tun.
A1	die Adresse,-en	Können Sie mir seine Adresse sagen?
A1	all-	Alles Gute! | Das ist alles. | Sind alle da? | Alle Freunde kommen. | Hast du alles?
A1	allein	Er kommt allein.
A1	also	Also, es ist so: ... | Er hat Zeit, also muss er uns helfen.
A1	alt	Wie alt sind Sie? | Sie sehen aber nicht so alt aus. | Mein Auto ist schon sehr alt. | Wir wohnen in einem sehr alten Haus. | Köln ist eine alte Stadt.
A1	das Alter	Alter: 26 Jahre.
A1	an	Fahren Sie an der nächsten Straße nach rechts. | Wir treffen uns am Bahnhof. | Am nächsten Montag geht es leider nicht.
A1	anbieten	Was darf ich dir anbieten?
A1	das Angebot,	-e Heute sind Sportschuhe im Angebot.
A1	ander-	WiIlst du diese Jacke?  |   Nein, ich möchte die andere.
A1	anfangen	Hier fängt die Bahnhofstraße an. | Der Unterricht fängt gleich an.
A1	der Anfang	Sie wohnt am Anfang der Straße. | Wir machen Anfang Juli Urlaub.
A1	anklicken	Da musst du dieses Wort anklicken.
A1	ankommen	Wann kommt dieser Zug in Hamburg an? 
A1  die Ankunft Auf diesem Plan steht nur die Ankunft(-szeit) der Züge.
A1	ankreuzen	Auf dem Formular müssen Sie an mehreren Stellen etwas ankreuzen.
A1	anmachen	Mach bitte das Licht an!
A1	(sich) anmelden	Wo kann ich mich anmelden?
A1	die Anmeldung	Eine Anmeldung für diesen Kurs ist nicht mehr möglich.
A1	die Anrede	Schreiben Sie auch eine Anrede und einen Gruß.
A1	anrufen	Kann man Sie anrufen? | Peter ruft kurz seine Freundin an.
A1	der Anruf,	-e Sie bekommt viele Anrufe auf ihrem Handy.
A1	der Anruf-	Wir sind im Moment nicht da. Sprechen Sie bitte auf
A1	beantworter den	Anrufbeantworter.
A1	die Ansage,	-n Hören Sie die Ansagen.
A1	der Anschluss	In Mannheim haben Sie Anschluss nach Saarbrücken. | Ist das die Anmeldung für einen Telefonanschluss?
A1	an sein	Heute Nacht war das Licht an.
A1	antworten	Er antwortet nicht.
A1	die Antwort,	-en Er gibt leider keine Antwort.
A1	die Anzeige,	-n Ich habe Ihre Anzeige in der Zeitung gelesen.
A1	(sich) anziehen	Ich muss mich noch anziehen.
A1	das Apartment,	-s Wir haben ein Apartment gemietet.
A1	der Apfel,	-Ä Ein Pfund Äpfel bitte.
A1	der Appetit	Guten Appetit!
A1	arbeiten	Wo arbeiten Sie?
A1	die Arbeit,	-en Mein Bruder sucht Arbeit. | sind.
A1	der Arbeitsplatz,	-ä, e An meinem Arbeitsplatz fehlt ein Drucker.
A1	der Arm,	-e Mein Arm tut weh.
A1	der Arzt,	-Ä, e Morgen habe ich einen Termin bei meiner Ärztin.
A1	auch	Ich bin auch Spanier.
A1	auf	Die Kinder spielen auf der Straße. | Auf Wiedersehen. | Wie heißt das auf Deutsch?
A1	die Aufgabe,	-n Das ist eine schwere Aufgabe.
A1	aufhören	Der Kurs hört in einer Woche auf. | Hier hört die Bahnhofstraße auf.
A1	auf sein	Du brauchst den Schlüssel nicht. Die Wohnung ist auf.
A1	aufstehen	Ich muss immer um vier Uhr aufstehen. | Soll ich aufstehen?
A1	der Aufzug,	-ü, e In diesem Haus gibt es keinen Aufzug.
A1	das Auge,	-n Er hat blaue Augen.
A1	aus	Er kommt aus Brasilien.
A1	der Ausflug	Morgen machen wir einen Ausflug nach Heidelberg.
A1	ausfüllen	Füllen Sie bitte dieses Formular aus.
