# Bổ sung B2/C1 cho Wortschatz-Spektrum (audit 31/08 F-14). KHÔNG phải danh sách chính thức của Goethe
# (Goethe không công bố Wortliste trên B1). Sinh deterministic, 0 token (05/09/2026): dạng từ trong de_50k.txt
# (tần suất phụ đề tiếng Đức) hạng 4.001–30.000; bỏ mọi dạng có gốc trùng từ A1–B1 của Wortliste (đã bỏ mạo từ,
# so gốc sau khi bỏ đuôi biến tố + đảo umlaut + tiền tố ge-); chỉ giữ chuỗi chữ cái dài ≥4; loại từ đệm, vay mượn thô,
# tục. Hạng ≤16.000 → B2, 16.001–30.000 → C1. Ý nghĩa: 'từ hiếm hơn vốn B1' — tín hiệu phổ từ vựng tương đối,
# còn lẫn tên riêng/từ vay mượn; thay bằng danh sách giáo viên duyệt khi có (tài liệu gate §6).
cefr	lemma
B2	juli
B2	verfahren
B2	kirk
B2	allzu
B2	gloria
B2	knurrt
B2	rita
B2	quinn
B2	unterschrieben
B2	heulen
B2	gefiel
B2	bekamen
B2	jennifer
B2	aktiviert
B2	ausweg
B2	hinweg
B2	zurückkommt
B2	geiseln
B2	segne
B2	aufgepasst
B2	raumschiff
B2	weißer
B2	hauptsache
B2	admiral
B2	entgegen
B2	julian
B2	version
B2	hilfreich
B2	jahrelang
B2	baron
B2	stone
B2	puls
B2	denselben
B2	widerlich
B2	parkplatz
B2	sozusagen
B2	mittwoch
B2	unschuldige
B2	grandma
B2	florida
B2	grünen
B2	vision
B2	highschool
B2	friedhof
B2	irrtum
B2	klienten
B2	nervt
B2	reverend
B2	gegenwart
B2	zurückbringen
B2	herman
B2	protokoll
B2	durchaus
B2	grausam
B2	höchste
B2	verwickelt
B2	apropos
B2	alfred
B2	ansonsten
B2	wade
B2	missverständnis
B2	gejagt
B2	diejenigen
B2	pinkeln
B2	huhn
B2	erheben
B2	paradies
B2	tagebuch
B2	jenseits
B2	mason
B2	pfeift
B2	dieselben
B2	vergaß
B2	greg
B2	konsequenzen
B2	führerschein
B2	wiederkommen
B2	werbung
B2	warf
B2	anblick
B2	hielten
B2	getrieben
B2	bomben
B2	bedenken
B2	tapfer
B2	experiment
B2	narren
B2	abgeholt
B2	abhalten
B2	laufenden
B2	auftaucht
B2	school
B2	tara
B2	sebastian
B2	sarg
B2	drinks
B2	schlief
B2	soeben
B2	schultz
B2	aufgehalten
B2	fähigkeit
B2	attraktiv
B2	begriff
B2	muster
B2	versprach
B2	überwachen
B2	eingeschlafen
B2	schlimmsten
B2	vergib
B2	vorbeikommen
B2	sandwich
B2	papst
B2	toast
B2	matthew
B2	löwen
B2	schüchtern
B2	green
B2	sheldon
B2	christopher
B2	übernimmt
B2	walton
B2	heftig
B2	vorfall
B2	motel
B2	irgendeinen
B2	ruhm
B2	königreich
B2	dennis
B2	kehren
B2	chinesen
B2	michel
B2	ruth
B2	block
B2	belogen
B2	kofferraum
B2	road
B2	bursche
B2	erin
B2	geständnis
B2	ausgegangen
B2	begreifen
B2	dana
B2	bezüglich
B2	faszinierend
B2	ethan
B2	entführung
B2	keucht
B2	erhielt
B2	felsen
B2	zorn
B2	ausgesetzt
B2	zurückgeben
B2	bewiesen
B2	liebste
B2	herrlich
B2	babe
B2	witwe
B2	trauer
B2	anwesenheit
B2	jill
B2	befragen
B2	wegnehmen
B2	otto
B2	daumen
B2	identifiziert
B2	owen
B2	morris
B2	koma
B2	prinzen
B2	bewusstlos
B2	hill
B2	jude
B2	absichtlich
B2	vermasselt
B2	verschlossen
B2	sowie
B2	ford
B2	queen
B2	zugehört
B2	stephen
B2	explodiert
B2	steven
B2	harris
B2	existenz
B2	drehbuch
B2	football
B2	anzusehen
B2	ohnmächtig
B2	zaun
B2	guckt
B2	liam
B2	virginia
B2	wächter
B2	eimer
B2	rakete
B2	unfair
B2	esel
B2	unterwäsche
B2	betrachtet
B2	engländer
B2	genossen
B2	spock
B2	verhungern
B2	september
B2	bestanden
B2	louise
B2	schluchzt
B2	übertrieben
B2	heilmittel
B2	vorm
B2	friedlich
B2	teenager
B2	gestritten
B2	lediglich
B2	charakter
B2	krass
B2	group
B2	diana
B2	geräusche
B2	dexter
B2	staffel
B2	geheilt
B2	befürchte
B2	warren
B2	versagen
B2	übernommen
B2	media
B2	traue
B2	thron
B2	akzent
B2	truppe
B2	übertragen
B2	kompliment
B2	flammen
B2	gemälde
B2	chip
B2	benjamin
B2	dankeschön
B2	verhandlung
B2	brüllt
B2	füllen
B2	letztendlich
B2	with
B2	kekse
B2	ausschalten
B2	penis
B2	gelächter
B2	einspruch
B2	angeln
B2	rausgehen
B2	monk
B2	kaution
B2	eures
B2	gesessen
B2	kehrt
B2	bernard
B2	juni
B2	gerissen
B2	festgenommen
B2	ralph
