cefr	lemma	example_de
A1	aber	Ich bin oft
A1	abfahren	Wir fahren
A1	abfliegen	Wann fliegst
A1	abgeben	Ich muss
A1	abholen	Wann kann Wir müssen
A1	Achtung	Achtung!
A1	all-	Alles Gute! Das ist alles. Sind alle Alle Freunde Hast du alles?
A1	allein	Er kommt
A1	also	Also, es ist Er hat Zeit,
A1	alt	Wie alt sind Sie sehen Mein Auto Wir wohnen Köln ist eine
A1	an	Fahren Sie Wir treffen Am nächsten
A1	an sein	Heute Nacht || Das Licht
A1	anbieten	Was darf
A1	ander-	WiIlst du – Nein, ich
A1	anfangen	Hier fängt Der Unterricht
A1	anklicken	Da musst
A1	ankommen	Wann kommt
A1	ankreuzen	Auf dem etwas ankreuzen.
A1	anmachen	Mach bitte
A1	anrufen	Kann man Peter ruft
A1	antworten	Er antwortet
A1	arbeiten	Wo arbeiten
A1	arbeitslos	Es gibt bei sind.
A1	auch	Ich bin auch
A1	auf	Die Kinder Auf Wiedersehen. Wie heißt
A1	auf sein	Du brauchst || Das Fenster
A1	aufhören	Der Kurs Hier hört
A1	aufstehen	Ich muss Soll ich aufstehen?
A1	aus	Er kommt
A1	aus sein	Das Licht Die Schule
A1	ausfüllen	Füllen Sie
A1	ausländisch	Leider habe
A1	ausmachen	Mach bitte
A1	aussehen	Das sieht
A1	aussteigen	Wo muss
A1	automatisch	Du musst
A1	baden	Ich bade nicht
A1	bald	Ich komme
A1	bar	Muss ich bar
A1	beantworter	den Anrufbeantworter.
A1	bedeuten	Was bedeutet
A1	beginnen	Das Spiel
A1	bei	Offenbach Ich wohne Bei uns regnet Er arbeitet
A1	beide	Beide Eltern Wir kommen
A1	bekannt	Picasso ist
A1	bekommen	Haben Sie Was bekommen Dieses Medikament
A1	benutzen	Die Aufzüge
A1	besetzt	Die Nummer Der Platz
A1	besichtigen	Ich möchte
A1	besser	Es geht mir
A1	best-	Am besten
A1	bestellen	Wir möchten Dieses Buch bestellen?
A1	besuchen	Darf ich dich
A1	bezahlen	Wo muss
A1	billig	Die Jacke
A1	bis	Ich fahre Ich warte
A1	bisschen	Ich spreche Deutsch.
A1	bitte	Eine Tasse Sprechen || Ich habe
A1	bitten	Darf ich Sie
A1	bitter	Der Kaffee
A1	bleiben	Ich bleibe Wir bleiben
A1	brauchen	Brauchst
A1	breit	Wie breit
A1	bringen	Bringen Sie Wir müssen
A1	buchstabieren	Bitte buchstabieren
A1	böse	Sie ist böse
A1	circa/ca	Von Mainz Kilometer.
A1	da	Da hinten Wir sprechen Ich nehme Ist Herr Klein
A1	daneben	Du kennst
A1	danke	Soll ich Ihnen
A1	danken	Ich danke
A1	dann	Ich muss
A1	das Alter	Alter: 26
A1	das Angebot	Heute sind
A1	das Apartment	Wir haben
A1	das Auge	Er hat blaue
A1	das Ausland	Fahren Sie
A1	das Auto	Er kommt
A1	das Baby	Mein Kind
A1	das Bad	Wir haben
A1	das Bein	Mein rechtes
A1	das Beispiel	Kannst du
A1	das Bett	Wir brauchen
A1	das Bier	Noch ein
A1	das Bild	Hast du ein
A1	das Brot	Haben Sie Nimm noch
A1	das Brötchen	Möchtest
A1	das Buch	Gute Bücher In diesem
A1	das Café	Sollen wir
A1	das Datum	Bitte schreiben
A1	das Doppelzimmer	Wollen Sie
A1	das Dorf	Meine Familie
A1	das Ei	Möchtest
A1	das Einzelzimmer	Haben Sie
A1	das Ende	Sie wohnt Er bekommt
A1	das Ergebnis	Das Ergebnis
A1	das Fahrrad	Fährst du
A1	das Fax	Schicken
A1	das Feuer	Haben Sie
A1	das Fieber	Mein Mann
A1	das Fleisch	Fleisch mag
A1	das Flugzeug	Das Flugzeug
A1	das Formular	Sie müssen
A1	das Foto	Darf ich ein
A1	das Frühstück	Möchtest
A1	das Geburtsjahr	Das Geburtsjahr
A1	das Geld	Hast du noch
A1	das Gemüse	Gemüse brauchen
A1	das Gepäck	Wollen Sie
A1	das Geschenk	Danke für
A1	das Geschäft	Die Geschäfte
A1	das Gespräch	Das Gespräch
A1	das Getränk	Mein Lieblingsgetränk
A1	das Gewicht	Bei „Gewicht“
A1	das Glas	Bitte noch Wir brauchen
A1	das Gleis	Der ICE nach
A1	das Glück	Viel Glück!
A1	das Haar	Sie hat lange
A1	das Handy	In der Schule
A1	das Haus	In welchem Ich gehe Paul ist nicht
A1	das Hobby	Meine Hobbys
A1	das Hotel	Im Urlaub
A1	das Hähnchen	Ein Hähnchen
A1	das Internet	Das findest
A1	das Kind	Wie viele
A1	das Kino	Wir sehen
A1	das Konto	Das Geld
A1	das Land	Italien ist
A1	das Licht	Wo macht
A1	das Lied	Welches ist
A1	das Lokal	In unserer
A1	das Meer	Wir machen
A1	das Mädchen	Familie Kurz
A1	das Obst	Im Sommer
A1	das Papier	Hier sind
A1	das Praktikum	Ich mache
A1	das Problem	Mein Problem
A1	das Reisebüro	Mein Mann
A1	das Restaurant	Wir essen
A1	das Salz	Herr Ober,
A1	das Schild	Haben Sie
A1	das Schwimmbad	Kommst
A1	das Sofa	Das Sofa
A1	das Studium	Das Studium
A1	das Taxi	Es gibt heute
A1	das Telefon	Haben Sie
A1	das Thema	Wir sprechen Trinken“.
A1	das Ticket	Wie viel
A1	das Wasser	Ein Glas Wasser,
A1	das Wetter	Wir hatten
A1	das Wiederhören	Wir müssen Also auf Wiederhören!
A1	das Wiedersehen	Auf Wiedersehen!
A1	das Wort	Ich kenne
A1	das Zimmer	Das Zimmer Öffne im Die Wohnung Ich habe
A1	das Öl	Den Salat
A1	dauern	Wie lange
A1	dein-	Ist das dein Ist das deins?
A1	denn	Ich kann
A1	der	Ich nehme Hier ist der Die Fahrkarte
A1	der Abflug	Der Abflug
A1	der Absender	Da ist ein
A1	der Anfang	Sie wohnt Wir machen
A1	der Anruf	Sie bekommt
A1	der Anruf-	Wir sind
A1	der Anschluss	In Mannheim Ist das die
A1	der Apfel	Ein Pfund
A1	der Appetit	Guten Appetit!
A1	der Arbeitsplatz	An meinem
A1	der Arm	Mein Arm
A1	der Arzt	Morgen habe
A1	der Aufzug	In diesem
A1	der Ausflug	Morgen machen
A1	der Ausgang	Wo ist der
A1	der Ausländer	SInd Sie Ausländerin?
A1	der Ausweis	Hier ist mein
A1	der Automat	Die Fahrkarten
A1	der Bahnhof	Komme ich
A1	der Bahnsteig	Auf welchem
A1	der Balkon	Die Wohnung
A1	der Bauch	Seit gestern
A1	der Baum	Vorsicht, fahr
A1	der Beamte	Fragen Sie
A1	der Beruf	Was sind Was ist Ihr
A1	der Bleistift	Hast du einen
A1	der Blick	Von diesem Rhein.
A1	der Bogen	Schreiben
A1	der Brief	Haben Sie
A1	der Bruder	Sein Bruder
A1	der Buchstabe	Diesen Buchstaben
A1	der Bus	Wann kommt
A1	der Chef	Wir haben
A1	der Computer	Wann bekommst
A1	der Dank	Vielen Dank! Herzlichen
A1	der Doktor	Meine Tochter
A1	der Drucker	Mein Drucker
A1	der Durst	Hast du etwas
A1	der Ehemann	Das ist mein
A1	der Eingang	Der Eingang
A1	der Eintritt	Der Preis
A1	der Empfänger	Auf dem Empfänger.
A1	der Erwachsene	Dieser Film
A1	der Fahrer	Bitte nicht
A1	der Familienname	Meine Familiennamen
A1	der Familienstand	Bei „Familienstand“
A1	der Fehler	Diesen Fehler
A1	der Film	Ich möchte
A1	der Fisch	Ich esse gern
A1	der Flughafen	Kannst du
A1	der Freund	Das ist ein Das ist meine
A1	der Fuß	Der linke
A1	der Fußball	Spielt ihr
A1	der Garten	Wir haben
A1	der Gast	Am Wochenende
A1	der Geburtsort	Bitte schreiben
A1	der Geburtstag	Herzlichen
A1	der Glückwunsch	Herzlichen
A1	der Großvater	Mein Großvater
A1	der Gruß	Viele Grüße Mit freundlichen
A1	der Hausmann	Die Hausfrau/der ein.
A1	der Herd	In der neuen
A1	der Herr	Guten Tag,
A1	der Hund	Der Hund
A1	der Hunger	Ich habe
A1	der Job	Jenny hat
A1	der Jugendliche	Viele Jugendliche
A1	der Junge	Ich habe zwei
A1	der Kaffee	Zum Frühstück
A1	der Kindergarten	Die kleine
A1	der Kiosk	Am Kiosk Zeitungen.
A1	der Koffer	Ist das Ihr
A1	der Kollege	Wie heißt
A1	der Kopf	Mein Kopf
A1	der Kuchen	Ich nehme
A1	der Kugelschreiber	Hast du einen
A1	der Kunde	Einen Moment,
A1	der Kurs	Der Deutschkurs
A1	der Kühlschrank	Haben wir
A1	der Laden	Im Buchladen
A1	der Lehrer	Unsere Deutschlehrerin
A1	der Lkw	Dieser Lastkraftwagen
A1	der Mann	Mein Mann
A1	der Mensch	Die Menschen
A1	der Moment	Moment mal Einen Moment
A1	der Mund	Öffnen Sie
A1	der Name	Mein Name Mein Vorname
A1	der Opa	Mein Opa
A1	der Ort	Der Ort liegt
A1	der Partner	
A1	der Pass	Im Hotel
A1	der Plan	Ich kaufe
A1	der Platz	Tut mir leid, Bitte nehmen Ich wohne
A1	der Preis	Die Preise
A1	der Prospekt	Bitte schicken
A1	der Raum	Der Unterricht
A1	der Regen	Bei diesem
A1	der Reis	Ich esse gern
A1	der Reiseführer	Ich kaufe Unser Reiseführer
A1	der Saft	Möchtest
A1	der Salat	Wie schmeckt
A1	der Schalter	Gehen Sie
A1	der Schinken	Ich möchte
A1	der Schluss	Ich muss Zum Schluss
A1	der Schlüssel	Ich gebe
A1	der Schrank	Die Gläser
A1	der Schuh	Zieh die
A1	der Schüler	In meinem Schüler.
A1	der See	Komm, wir
A1	der Sohn	Das ist Hans,
A1	der Sport	Ich mache
A1	der Stock	Unsere Wohnung
A1	der Student	Ich bin Studentin.
A1	der Tee	Ich trinke
A1	der Teil	Lies bitte
A1	der Termin	Am besten
A1	der Test	Der Test
A1	der Text	Lesen Sie
A1	der Tisch	Die Fotos
A1	der Unterricht	Wir haben
A1	der Urlaub	Ich nehme
A1	der Vater	Mein Vater
A1	der Verein	Es gibt einen
A1	der Verkäufer	Meine Mutter
A1	der Vermieter	Unser Vermieter
A1	der Verwandte	Peter besucht
A1	der Vorname	Ich heiße
A1	der Wein	Nein danke,
A1	der Wind	Der Wind
A1	der Zoll	Wir müssen
A1	der Zug	Ich fahre
A1	der/die Bekannte	Ein Bekannter
A1	dich	Die Blumen
A1	die Abfahrt	Vor der Abfahrt
A1	die Adresse	Können Sie
A1	die Ankunft	Auf diesem Züge.
A1	die Anmeldung	Eine Anmeldung
A1	die Anrede	Schreiben
A1	die Ansage	Hören Sie
A1	die Antwort	Er gibt leider
A1	die Anzeige	Ich habe
A1	die Arbeit	Mein Bruder
A1	die Aufgabe	Das ist eine
A1	die Auskunft	Können Sie
A1	die Aussage	Ist die Aussage
A1	die Autobahn	Wo geht‘s
A1	die Bahn	Wir fahren Ich nehme
A1	die Banane	Drei Bananen,
A1	die Bank	Die Bank Er sitzt im
A1	die Birne	Ein Kilo Birnen,
A1	die Blume	Gefallen
A1	die Briefmarke	Kaufst du
A1	die Butter	Für mich
A1	die Bäckerei	Ich geh mal
A1	die CD	Bring bitte
A1	die Dame	Damen (an Sehr geehrte
A1	die Disco	Heute abend
A1	die Durchsage	Ich habe
A1	die Dusche	Unsere Wohnung
A1	die E-Mail	Ich habe
A1	die Ecke	An der nächsten
A1	die Ehefrau	
A1	die Einladung	Danke für
A1	die Eltern	Meine Eltern
A1	die Entschuldigung	Entschuldigung!
A1	die Fahrkarte	Hast du schon
A1	die Familie	Meine Familie
A1	die Farbe	Die Farbe
A1	die Firma	Er arbeitet
A1	die Flasche	Eine Flasche
A1	die Frage	Ich habe eine
A1	die Frau	Das ist Frau Guten Tag, Hier arbeiten
A1	die Freizeit	In meiner
A1	die Führung	Die Führung
A1	die Geschwister	Ich habe
A1	die Großeltern	Meine Großeltern
A1	die Großmutter	Meine Großmutter
A1	die Gruppe	Die erste
A1	die Größe	Haben Sie
A1	die Halbpension	Möchten
A1	die Halle	Wir treffen
A1	die Haltestelle	An der nächsten
A1	die Hand	Er gibt mir
A1	die Hausaufgabe	Kannst du
A1	die Hausfrau	
A1	die Heimat	Ich komme
A1	die Hilfe	Hilfe! Bitte Brauchen
A1	die Hochzeit	Zur dieser
A1	die Information	Wenn Sie Wir haben
A1	die Jacke	Zieh dir eine
A1	die Karte	Ich schreibe Urlaub. Wollen wir Ich möchte bitte.
A1	die Kartoffel	Für Pommes
A1	die Kasse	Zahlen Sie
A1	die Klasse	In unserer Im Zug fahre
A1	die Kleidung	Wo finde zweiten Stock.
A1	die Küche	Der neue
A1	die Lebens-	
A1	die Leute	In der Disko
A1	die Lösung	Die Lösung
A1	die Maschine	Die Waschmaschine
A1	die Miete	Die Miete
A1	die Milch	Die Milch
A1	die Mitte	Der Lehrer
A1	die Mutter	Frau Berghäuser
A1	die Möbel	Sind die Möbel
A1	die Nummer	Sie haben Welche Hausnummer Können Sie
A1	die Oma	Meine Oma
A1	die Ordnung	Das ist in
A1	die Papiere	Haben Sie
A1	die Partnerin	Sie ist meine
A1	die Party	Heute Abend
A1	die Pause	Von 12.00
A1	die Polizei	Holen Sie
A1	die Pommes frites	Die Kinder
A1	die Post	Wo ist die Ist Post da?
A1	die Postleitzahl	Wie ist Ihre
A1	die Praxis	Die Praxis
A1	die Prüfung	Die Prüfung
A1	die Rechnung	Die Rechnung,
A1	die Reise	Wir machen
A1	die Reparatur	Die Reparatur
A1	die Rezeption	Fragen Sie
A1	die S-Bahn	Ich nehme
A1	die Schule	Meine Tochter Die Schule
A1	die Schwester	Meine Schwester
A1	die Sehenswürdigkeit	-en Welche Sehenswürdigkeiten
A1	die Sonne	Die Sonne
A1	die Speisekarte	Bringen
A1	die Sprache	Welche Sprachen
A1	die Stadt	Heidelberg
A1	die Stelle	Ich habe
A1	die Straße	In welcher
A1	die Straßenbahn	Wo fährt
A1	die Stunde	Ich bin in
A1	die Tasche	Ich habe
A1	die Tochter	Das ist meine
A1	die Toilette	Wo ist die
A1	die Tomate	Die Tomate
A1	die Treppe	Die Toilette?
A1	die Uhr	Es ist vier
A1	die Unterschrift	Hier fehlt
A1	die Vorsicht	Vorsicht!
A1	die Vorwahl	Wie ist die
A1	die Welt	Es gibt viele
A1	die Wohnung	Seit wann
A1	die Zeit	Ich habe
A1	die Zeitung	Ich lese gern
A1	die Zigarette	Wie teuer
A1	dies-	Ich nehme
A1	dir	Gefallen dir
A1	dort	Deine Tasche Dort ist unser
A1	draußen	Wollen wir
A1	drucken	Bitte drucke
A1	drücken	Drück hier,
A1	durch	Am besten
A1	dürfen	Sie dürfen Darf ich Sie Es darf nicht
A1	eilig	Hast du es
A1	ein-	Ich nehme Ist hier einer,
A1	einfach	Die Prüfung Hin und zurück? Ich brauche
A1	einkaufen	Ich muss
A1	einladen	Darf ich Sie
A1	einmal	Diese Prüfung
A1	einsteigen	Schnell, steig
A1	empfehlen	Welchen
A1	enden	Die Straße
A1	entschuldigen	Entschuldigen
A1	er	Er heißt Ali.
A1	erklären	Kannst du
